	homeo_cgig	homeo_ctel	homeo_lgig	homeo_mcor	homeo_ofus	homeo_pdum	homeo_pele	homeo_spha
OG0000056	A0A8W8MTY9_CRAGI, A0A8W8MTZ3_CRAGI, K1QEU8_CRAGI	B6RFY2_CAPTE, R7UAI4_CAPTE	V4CL40_LOTGI	A0A6J8A8V3_MYTCO	A0A8J1TQI2_OWEFU, A0A8S4N570_OWEFU			
OG0000057	A0A8W8MW41_CRAGI, K1PP90_CRAGI	R7TGD7_CAPTE, R7TGN1_CAPTE	A0A0B6VI59_LOTGI, V3ZS59_LOTGI	A0A6J8BQG6_MYTCO	A0A8J1UAP0_OWEFU	Pdum_DN81728_c0_g1_i1.p1^		
OG0000058	A0A8W8N9G9_CRAGI, K1Q1H4_CRAGI	R7UC57_CAPTE	V4AG74_LOTGI, V4AZ98_LOTGI	A0A6J8ABZ2_MYTCO	A0A8J1UWG1_OWEFU	Pdum_DN80655_c0_g3_i2.p1^	Pele_DN153039_c2_g3_i4.p1^	
OG0000059	A0A8W8NAJ6_CRAGI, K1RC49_CRAGI	R7UNJ2_CAPTE	V4AG38_LOTGI	A0A6J8DVH7_MYTCO	A0A2I6EEG1_OWEFU, A0A8J1XPH2_OWEFU, A0A8S4N1Q5_OWEFU	Pdum_DN89862_c1_g2_i3.p1^		
OG0000060	K1QS55_CRAGI	C4MK43_CAPTE, R7UDF2_CAPTE, R7ULI7_CAPTE	V4AMU9_LOTGI	A0A6J8B2W8_MYTCO	A0A8J1T4B5_OWEFU, A0A8J1XFR7_OWEFU			A0A812AM68_SEPPH
OG0000061	K1QXF3_CRAGI	R7TJG0_CAPTE	A0A0B6VLJ9_LOTGI, V4ALT1_LOTGI	A0A6J8DIY8_MYTCO	A0A8J1TXI9_OWEFU, A0A8S4PTX5_OWEFU			A0A812B6T3_SEPPH, A0A812BSA7_SEPPH
OG0000062	A0A8W8I834_CRAGI, K1P5F1_CRAGI	R7UN60_CAPTE, R7UWA1_CAPTE	V3ZRS6_LOTGI	A0A6J8AC99_MYTCO	A0A8J1UKY0_OWEFU, A0A8J1Y520_OWEFU			
OG0000063	A0A8W8HTT0_CRAGI, K1PGT0_CRAGI	R7TI74_CAPTE, R7VCX8_CAPTE	V4B3K2_LOTGI	A0A6J8BAF2_MYTCO	A0A8J1UM84_OWEFU, A0A8S4PD62_OWEFU			
OG0000064	A0A8W8IBQ2_CRAGI, A0A8W8IBX2_CRAGI, K1Q8M9_CRAGI	Q09VU4_CAPTE, R7TJF1_CAPTE	V3ZSX8_LOTGI	A0A6J8BRJ0_MYTCO	A0A8J1TVS4_OWEFU			
OG0000065	A0A8W8IPI1_CRAGI, A0A8W8IQU2_CRAGI, K1R7X3_CRAGI	R7UAJ4_CAPTE	V4ALC7_LOTGI		A0A8J1Y2F5_OWEFU, A0A8S4NKP5_OWEFU		Pele_DN152935_c0_g4_i2.p1^	
OG0000066	A0A8W8L000_CRAGI, K1PVZ4_CRAGI	Q2FA45_CAPTE, R7TBA9_CAPTE	V3ZI41_LOTGI	A0A6J8AVM2_MYTCO	A0A8J1TJ83_OWEFU	Pdum_DN75939_c0_g1_i5.p1^		
OG0000067	A0A8W8MTT0_CRAGI, K1QUT3_CRAGI	B6RFX3_CAPTE, R7TLA0_CAPTE	V4BAI4_LOTGI	A0A6J8EU43_MYTCO	A0A8J1Y1U3_OWEFU	Pdum_DN81110_c0_g1_i4.p1^		
OG0000068	A0A8W8N0Z8_CRAGI, A0A8W8N1K7_CRAGI, K1QNR8_CRAGI	B6RFX7_CAPTE, R7TK28_CAPTE	V4B622_LOTGI	A0A6J8EUF3_MYTCO	A0A8J1UAL6_OWEFU			
OG0000069	A0A8W8N8W3_CRAGI, K1PW35_CRAGI	R7UDP9_CAPTE	V4AEL3_LOTGI	A0A6J8DU24_MYTCO	A0A8J1U9G2_OWEFU	Pdum_DN84796_c0_g1_i12.p1^		A0A812BAS7_SEPPH
OG0000070	A0A8W8NM07_CRAGI, K1Q0E3_CRAGI	R7TC57_CAPTE	V3ZEA7_LOTGI	A0A6J8CAG2_MYTCO	A0A8J1TXW6_OWEFU, A0A8S4P1Z9_OWEFU			A0A812DLT3_SEPPH
OG0000071	A0A8W8NNK0_CRAGI, K1RYX0_CRAGI	R7TTE4_CAPTE	V4APN7_LOTGI	A0A6J8E6J6_MYTCO	A0A8J1Y043_OWEFU	Pdum_DN91293_c5_g1_i4.p1^		A0A812ECF7_SEPPH
OG0000072	K1Q149_CRAGI	R7TQE4_CAPTE, R7UP44_CAPTE, R7UX36_CAPTE	V3ZS89_LOTGI	A0A6J8CGL6_MYTCO	A0A8J1TPC4_OWEFU, A0A8S4N1D9_OWEFU			
OG0000073	K1QS33_CRAGI	R7UK02_CAPTE	V3ZY21_LOTGI	A0A6J8D4P7_MYTCO	A0A8J1XJI6_OWEFU	Pdum_DN66869_c0_g1_i1.p1^	Pele_DN163481_c0_g2_i5.p1^	
OG0000074	K1QUN5_CRAGI	R7VJ71_CAPTE	V4CJP9_LOTGI	A0A6J8DNQ5_MYTCO	A0A8J1Y3X5_OWEFU	Pdum_DN87519_c0_g1_i4.p1^	Pele_DN145271_c1_g2_i2.p1^	
OG0000075	A0A8W8HZU1_CRAGI, K1QKW3_CRAGI	R7TRL6_CAPTE	V4A086_LOTGI	A0A6J8D1U8_MYTCO	A0A8J1XWL1_OWEFU		Pele_DN136173_c0_g1_i1.p1^	
OG0000076	A0A8W8IWN5_CRAGI, K1QYJ1_CRAGI	R7U6M3_CAPTE	V4AQ81_LOTGI	A0A6J8EZB9_MYTCO	A0A8J1XHX7_OWEFU, A0A8S4NQ05_OWEFU			
OG0000077	A0A8W8JP77_CRAGI, K1QTQ2_CRAGI	R7UUL8_CAPTE	V4BFC9_LOTGI	A0A6J8B0V2_MYTCO	A0A8J1U7C5_OWEFU, A0A8S4N0Y2_OWEFU			
OG0000078	A0A8W8KP93_CRAGI, K1PLG8_CRAGI	R7UZM9_CAPTE	V3ZXQ0_LOTGI	A0A6J8C5Y5_MYTCO	A0A8J1TWH5_OWEFU			A0A812BK74_SEPPH
OG0000079	K1RMM1_CRAGI	C4MLE9_CAPTE	V4C954_LOTGI	A0A6J8ECG1_MYTCO, A0A6J8EFG0_MYTCO	A0A2I6QBN1_OWEFU		Pele_DN133460_c1_g1_i12.p1^	
OG0000080	K1RSM0_CRAGI	R7V240_CAPTE	V4A4Z2_LOTGI	A0A6J8C7H5_MYTCO	A0A8J1XVX0_OWEFU	Pdum_DN74284_c0_g1_i3.p1^	Pele_DN150856_c1_g1_i10.p1^	
OG0000081		R7U7Y9_CAPTE	V4B459_LOTGI	A0A6J8CYK6_MYTCO		Pdum_DN91247_c6_g1_i5.p1^	Pele_DN103616_c0_g1_i1.p1^, Pele_DN151192_c1_g2_i4.p1^	A0A812ERL0_SEPPH
OG0000082	A0A8W8I7D4_CRAGI, K1RD84_CRAGI	R7VCI3_CAPTE	V3ZWV3_LOTGI	A0A6J8D1Q7_MYTCO	A0A8J1UJ17_OWEFU			
OG0000083	A0A8W8IUX3_CRAGI, K1QCD7_CRAGI	R7TD78_CAPTE	V4AT90_LOTGI	A0A6J8EYX5_MYTCO	A0A8J1T6P4_OWEFU			
OG0000084	A0A8W8KE56_CRAGI, K1PG94_CRAGI	R7UQR4_CAPTE, R7VEW7_CAPTE		A0A6J8D9V9_MYTCO	A0A8J1UTM8_OWEFU			
OG0000085	K1P9C1_CRAGI	R7T959_CAPTE	V3Z9S3_LOTGI	A0A6J8CP64_MYTCO	A0A8J1U389_OWEFU			A0A812DSX2_SEPPH
OG0000086			V4A810_LOTGI, V4AHV5_LOTGI, V4AS00_LOTGI, V4BGK7_LOTGI, V4BZH1_LOTGI		A0A8J1T4R4_OWEFU			
OG0000087	A0A8W8L9L9_CRAGI, A0A8W8LAW3_CRAGI, K1QWY6_CRAGI		A0A0B6VJL1_LOTGI	A0A6J8CSD9_MYTCO				
OG0000088	A0A8W8IQQ8_CRAGI, K1QJ01_CRAGI		V4ACL4_LOTGI, V4AIX4_LOTGI	A0A6J8EDL3_MYTCO				
OG0000089	A0A8W8IXT7_CRAGI, A0A8W8IZA9_CRAGI, A0A8W8IZB2_CRAGI, K1QG81_CRAGI			A0A6J8CQP8_MYTCO				
OG0000090	A0A8W8KTQ1_CRAGI	R7TS59_CAPTE	V4BLG5_LOTGI	A0A6J8BXD5_MYTCO	A0A8J1TXV8_OWEFU			
OG0000091	A0A8W8KUY9_CRAGI	R7VFF9_CAPTE			A0A8J1TY39_OWEFU, A0A8J1TZD7_OWEFU, A0A8S4P2N0_OWEFU			
OG0000092	A0A8W8MYI0_CRAGI, K1RFS1_CRAGI			A0A6J8E8B0_MYTCO	A0A8J1UC05_OWEFU, A0A8S4N0Q0_OWEFU			
OG0000093	K1Q583_CRAGI	R7TGS1_CAPTE	V4B058_LOTGI	A0A6J8BBK9_MYTCO			Pele_DN150887_c0_g2_i2.p1^	
OG0000094		R7UVH4_CAPTE	V4ART4_LOTGI		A0A8J1TQ83_OWEFU, A0A8S4N2S6_OWEFU		Pele_DN139785_c3_g2_i4.p1^	
OG0000095	A0A8W8I791_CRAGI, K1QBF2_CRAGI		V4ABE0_LOTGI	A0A6J8A8P8_MYTCO				
OG0000096	A0A8W8IEN3_CRAGI, A0A8W8IGN2_CRAGI, K1QV43_CRAGI			A0A6J8CJY6_MYTCO				
OG0000097	A0A8W8IM60_CRAGI, A0A8W8INP6_CRAGI, K1RXD5_CRAGI			A0A6J8CK90_MYTCO				
OG0000098	A0A8W8IYY1_CRAGI, K1PRV1_CRAGI				A0A8S4NCI8_OWEFU		Pele_DN151096_c1_g8_i2.p3^	
OG0000099	A0A8W8MDE7_CRAGI, A0A8W8MEZ4_CRAGI, K1P8V9_CRAGI			A0A6J8BFY7_MYTCO				
OG0000100	K1QEL4_CRAGI			A0A6J8BKA4_MYTCO, A0A6J8BMA2_MYTCO				A0A812ESN4_SEPPH
OG0000101		R7TT64_CAPTE		A0A6J8DHC6_MYTCO			Pele_DN137043_c1_g1_i3.p1^	A0A812E8D3_SEPPH
OG0000102	A0A8W8ISJ8_CRAGI, K1Q654_CRAGI			A0A6J8F3G1_MYTCO				
OG0000103	A0A8W8JSB0_CRAGI, K1P313_CRAGI			A0A6J8DR07_MYTCO				
OG0000104		R7U2X7_CAPTE, R7V0E8_CAPTE	V3YXF0_LOTGI					
OG0000105			V4B8H7_LOTGI		A0A8J1XFE5_OWEFU, A0A8S4NSZ1_OWEFU			
OG0000106				A0A6J8D230_MYTCO	A0A8J1U6N6_OWEFU		Pele_DN159068_c4_g3_i3.p1^	
OG0000107	A0A8W8N345_CRAGI			A0A6J8CJ05_MYTCO				
OG0000108		N1PB35_CAPTE			A0A8J1URX5_OWEFU			
OG0000109					A0A8J1XNM0_OWEFU, A0A8S4Q4Z0_OWEFU			
